"team";"key";"value"
"HOU";"Houston";30.7
"LAL";"LA Lakers";37.5
"TOR";"Toronto";40.0
"BOS";"Boston";38.4
"CHO";"Charlotte";22.2
"MEM";"Memphis";7.1
"MIL";"Milwaukee";25.0
"ATL";"Atlanta";53.8
"DET";"Detroit";33.3
"OKC";"Oklahoma City";29.6
"GSW";"Golden State";33.3
"DEN";"Denver";38.4
"CHI";"Chicago";33.3
"LAC";"LA Clippers";27.2
"DAL";"Dallas";50.0
"PHI";"Philadelphia";27.2
"WAS";"Washington";30.0
"IND";"Indiana";10.0
"NOP";"NOP";30.7
"PHO";"Phoenix";54.5
"NYK";"New York";18.1
"MIA";"Miami";21.7
"SAS";"San Antonio";25.0
"BRK";"Brooklyn";36.8
"POR";"Portland";11.7
"SAC";"Sacramento";18.7
"ORL";"Orlando";60.0
"CLE";"Cleveland";33.3
"UTA";"Utah";9.0
"MIN";"Minnesota";20.0
