"description","teamname","shotdistance","makeormiss","timer","game"
"Georges Niang misses 3-pt jump shot from 31 ft (UTA 126, LAC 126)","Utah Jazz",31.0,3,3.0,"UTALAC"
"Andrew Wiggins misses 3-pt jump shot from 25 ft (MIN 95, DEN 98)","Minnesota TWolves",25.0,3,9.0,"MINDEN"
"Taurean Waller-Prince makes 3-pt jump shot from 32 ft (assist by Kevin Huerter) (ATL 134, IND 132)","Atlanta Hawks",32.0,10,2.0,"ATLIND"
"Paul George makes 3-pt jump shot from 23 ft (assist by Russell Westbrook) (OKC 112, HOU 111)","OKC Thunder",23.0,10,1.0,"OKCHOU"
"James Harden misses 3-pt jump shot from 24 ft (HOU 111, OKC 112)","Houston Rockets",24.0,3,0.7,"OKCHOU"
"Maurice Harkless makes 3-pt jump shot from 24 ft (assist by CJ McCollum) (POR 104, LAL 101)","Portland Blazers",24.0,10,1,"PORLAL"
"Kawhi Leonard misses 3-pt jump shot from 25 ft (TOR 103, MIA 103)","Toronto Raptors",25.0,3,13.4,"TORMIA"
"James Johnson misses 3-pt jump shot from 25 ft (MIA 103, TOR 103)","Miami Heat",25.0,3,0.8,"TORMIA"
"Bogdan Bogdanovic misses 3-pt jump shot from 27 ft (SAC 129, NOP 132)","Sacramento Kings",27.0,3,8.0,"SACNOP"
"Troy Brown misses 2-pt jump shot from 24 ft (WAS 110, NYK 111)","Washington Wizards",24.3,1,22.0,"WASNYK"
"Ian Mahinmi misses 2-pt dunk from 2 ft (block by Kevin Knox) (WAS 110, NYK 111)","Washington Wizards",2.7,1,19.0,"WASNYK"
"Chasson Randle misses 3-pt jump shot from 24 ft (WAS 110, NYK 113)","Washington Wizards",24.0,3,6.0,"WASNYK"
"Sam Dekker misses 2-pt layup from 1 ft (WAS 110, NYK 111)","Washington Wizards",1.0,1,19.0,"WASNYK"
"Dorian Finney-Smith misses 2-pt dunk at rim (block by Bruno Caboclo) (DAL 110, MEM 112)","Dallas Mavericks",0.7,1,12.0,"DALMEM"
"Trey Burke misses 2-pt layup at rim (DAL 110, MEM 112)","Dallas Mavericks",0.8,1,8.3,"DALMEM"
