"description","teamname","shotdistance","makeormiss","timer","game"
"Klay Thompson makes 2-pt layup from 1 ft (GSW 117, SAC 116)","GSW",1.2,2.5,5.3,"SACGSW1"
"Buddy Hield misses 2-pt layup from 8 ft (SAC 116, GSW 117)","SAC",8.5,1.5,4.4,"SACGSW1"
"Marvin Bagley misses 2-pt layup from 1 ft (SAC 116, GSW 117)","SAC",1.1,1.5,3.3,"SACGSW1"
"Marvin Williams misses 3-pt jump shot from 22 ft (CHO 104, OKC 105)","CHO",22.2,1.5,14.2,"CHOOKC"
"Kemba Walker misses 3-pt jump shot from 25 ft (CHO 104, OKC 107)","CHO",25.4,1.5,3.4,"CHOOKC"
"Jamal Crawford makes 2-pt jump shot from 17 ft (PHO 116, MIL 114)","PHO",17.4,2.5,0.4,"MILPHO"
"Lou Williams misses 3-pt jump shot from 27 ft (LAC 95, MEM 96)","LAC",27.3,1.5,3.7,"LACMEM"
"Blake Griffin makes 3-pt jump shot from 30 ft (DET 98, HOU 96)","DET",30.3,5,3.9,"HOUDET"
"Eric Gordon makes 2-pt layup from 3 ft (assist by Chris Paul) (HOU 98, DET 98)","HOU",0.3,5,0.1,"HOUDET"
"DeMar DeRozan makes 2-pt jump shot from 15 ft (SAS 103, MEM 102)","SAS",15.3,2.5,1.7,"SASMEM"
"LaMarcus Aldridge misses 3-pt jump shot from 25 ft (SAS 103, MEM 104)","SAS",25.4,1.5,0.7,"SASMEM"
"Kyle Korver misses 3-pt jump shot from 28 ft (CLE 102, LAL 105)","CLE",28.2,1.5,18.4,"LALCLE"
"Evan Fournier makes 2-pt dunk from 3 ft (ORL 91, TOR 91)","ORL",3.2,2.5,2.5,"ORLTOR"
"Nikola Vucevic misses 3-pt jump shot from 67 ft (ORL 91, TOR 93)","ORL",49.2,1.5,2.5,"ORLTOR"
"Danny Green makes 2-pt jump shot from 6 ft (assist by Kyle Lowry) (TOR 93, ORL 91)","TOR",6.3,2.5,0.5,"ORLTOR"
"Kevin Durant misses 2-pt jump shot from 11 ft (GSW 108, DAL 109)","GSW",11.6,1.5,23.6,"GSWDAL"
"Klay Thompson misses 2-pt jump shot from 16 ft (GSW 108, DAL 110)","GSW",16.6,1.5,10.6,"GSWDAL"
"Jimmy Butler misses 2-pt jump shot from 20 ft (PHI 110, CHO 110)","PHI",20.6,1.5,1.9,"CHOPHI"
"Kawhi Leonard misses 2-pt jump shot from 17 ft (TOR 107, BOS 107)","TOR",17.5,1.5,1.2,"TORBOS"
"Blake Griffin misses 2-pt jump shot from 7 ft (DET 104, TOR 104)","DET",7.4,1.5,11.6,"TORDET"
"Glenn Robinson misses 2-pt layup from 2 ft (block by Pascal Siakam) (DET 104, TOR 104)","DET",2.4,1.5,1.1,"TORDET"
"Reggie Bullock makes 2-pt jump shot from 5 ft (assist by Jose Calderon) (DET 106, TOR 104)","DET",5.6,2.5,0.8,"TORDET"
