Losses,Standings,Wins,Team
60,60,66,MIL
60,60,65,MIL
60,60,64,MIL
60,60,63,MIL
60,60,62,MIL
60,60,61,MIL
60,60,60,MIL
59,60,60,MIL
58,60,60,MIL
57,60,60,MIL
56,60,60,MIL
55,60,60,MIL
58,58,65,TOR
58,58,64,TOR
58,58,63,TOR
58,58,62,TOR
58,58,61,TOR
58,58,60,TOR
58,58,59,TOR
58,58,58,TOR
57,58,58,TOR
56,58,58,TOR
55,58,58,TOR
54,58,58,TOR
53,58,58,TOR
52,58,58,TOR
51,58,58,TOR
50,58,58,TOR
49,58,58,TOR
48,58,58,TOR
47,58,58,TOR
51,51,59,PHI
51,51,58,PHI
51,51,57,PHI
51,51,56,PHI
51,51,55,PHI
51,51,54,PHI
51,51,53,PHI
51,51,52,PHI
51,51,51,PHI
50,51,51,PHI
49,51,51,PHI
48,51,51,PHI
47,51,51,PHI
46,51,51,PHI
45,51,51,PHI
44,51,51,PHI
43,51,51,PHI
42,51,51,PHI
41,51,51,PHI
49,49,54,BOS
49,49,53,BOS
49,49,52,BOS
49,49,51,BOS
49,49,50,BOS
49,49,49,BOS
48,49,49,BOS
47,49,49,BOS
46,49,49,BOS
45,49,49,BOS
44,49,49,BOS
44,49,49,BOS
48,48,54,IND
48,48,53,IND
48,48,52,IND
48,48,51,IND
48,48,50,IND
48,48,48,IND
47,48,48,IND
46,48,48,IND
45,48,48,IND
44,48,48,IND
43,48,48,IND
42,48,48,IND
42,42,50,BKN
42,42,49,BKN
42,42,48,BKN
42,42,47,BKN
42,42,46,BKN
42,42,45,BKN
42,42,44,BKN
42,42,43,BKN
42,42,42,BKN
41,42,42,BKN
40,42,42,BKN
39,42,42,BKN
38,42,42,BKN
37,42,42,BKN
36,42,42,BKN
35,42,42,BKN
34,42,42,BKN
33,42,42,BKN
32,42,42,BKN
31,42,42,BKN
30,42,42,BKN
42,42,51,ORL
42,42,50,ORL
42,42,49,ORL
42,42,48,ORL
42,42,47,ORL
42,42,46,ORL
42,42,45,ORL
42,42,44,ORL
42,42,43,ORL
42,42,42,ORL
41,42,42,ORL
40,42,42,ORL
39,42,42,ORL
38,42,42,ORL
37,42,42,ORL
36,42,42,ORL
41,41,50,DET
41,41,49,DET
41,41,48,DET
41,41,47,DET
41,41,46,DET
41,41,45,DET
41,41,44,DET
41,41,43,DET
41,41,42,DET
41,41,41,DET
40,41,41,DET
39,41,41,DET
38,41,41,DET
37,41,41,DET
36,41,41,DET
35,41,41,DET
39,39,49,CHA
39,39,48,CHA
39,39,47,CHA
39,39,46,CHA
39,39,45,CHA
39,39,44,CHA
39,39,43,CHA
39,39,42,CHA
39,39,41,CHA
39,39,40,CHA
39,39,39,CHA
38,39,39,CHA
37,39,39,CHA
36,39,39,CHA
35,39,39,CHA
34,39,39,CHA
33,39,39,CHA
39,39,48,MIA
39,39,47,MIA
39,39,46,MIA
39,39,45,MIA
39,39,44,MIA
39,39,43,MIA
39,39,42,MIA
39,39,41,MIA
39,39,40,MIA
39,39,39,MIA
38,39,39,MIA
37,39,39,MIA
36,39,39,MIA
35,39,39,MIA
34,39,39,MIA
33,39,39,MIA
32,32,38,WSH
32,32,37,WSH
32,32,36,WSH
32,32,35,WSH
32,32,34,WSH
32,32,33,WSH
32,32,32,WSH
31,32,32,WSH
30,32,32,WSH
29,32,32,WSH
28,32,32,WSH
27,32,32,WSH
29,29,35,ATL
29,29,34,ATL
29,29,33,ATL
29,29,32,ATL
29,29,31,ATL
29,29,30,ATL
29,29,29,ATL
28,29,29,ATL
27,29,29,ATL
26,29,29,ATL
25,29,29,ATL
24,29,29,ATL
23,29,29,ATL
22,29,29,ATL
21,29,29,ATL
20,29,29,ATL
22,22,30,CHI
22,22,29,CHI
22,22,28,CHI
22,22,27,CHI
22,22,26,CHI
22,22,25,CHI
22,22,24,CHI
22,22,23,CHI
22,22,22,CHI
21,22,22,CHI
20,22,22,CHI
19,22,22,CHI
18,22,22,CHI
17,22,22,CHI
16,22,22,CHI
15,22,22,CHI
14,22,22,CHI
19,19,23,CLE
19,19,22,CLE
19,19,21,CLE
19,19,20,CLE
19,19,19,CLE
18,19,19,CLE
17,19,19,CLE
16,19,19,CLE
15,19,19,CLE
14,19,19,CLE
17,17,24,NY
17,17,23,NY
17,17,22,NY
17,17,21,NY
17,17,20,NY
17,17,19,NY
17,17,18,NY
17,17,17,NY
16,17,17,NY
15,17,17,NY
14,17,17,NY
13,17,17,NY
